sign1	sign2	closeness
3(N01)	SZUBUR	  67.42
5(N01)	PA~a	  67.41
2(N14)	BAR	  67.31
BU~a	SI	  67.31
1(N14)	2(N57)	  67.27
AB~a	GI	  67.16
6(N01)	7(N01)	  67.14
HI	U4	  66.97
2(N01)	KISAL~b1	  66.94
HI	SAL	  66.93
1(N14)	UDUNITA~a	  66.87
SANGA~a	SZU	  66.81
1(N57)	GI	  66.79
EN~a	MUSZ3~a	  66.73
GAL~a	PA~a	  66.64
5(N01)	DU	  66.63
1(N01)	AL	  66.59
1(N01)	NAR	  66.57
3(N01)	RU	  66.55
NAM2	RAD~a	  66.52
PA~a	RAD~a	  66.50
1(N24)	1(N39~a)	  66.47
1(N14)	TE	  66.26
3(N01)	TE	  66.23
5(N01)	SZU2	  66.20
4(N14)	6(N01)	  66.03
1(N01)	MU	  65.98
ME~a	SANGA~a	  65.93
AN	PA~a	  65.92
1(N14)	GU7	  65.90
1(N57)	6(N01)	  65.75
3(N01)	MASZ	  65.72
1(N01)	DIN	  65.71
KU6~a	SZE~a	  65.68
1(N57)	SZU	  65.54
GAL~a	TE	  65.35
2(N14)	DU	  65.34
E2~a	GAL~a	  65.17
ME~a	SZU	  65.05
1(N01)	SIG7	  65.03
1(N57)	E2~a	  65.02
BU~a	ME~a	  65.01
2(N14)	KU6~a	  64.98
3(N01)	NE~a	  64.94
7(N01)	UDU~a	  64.93
1(N01)	TI	  64.92
NE~a	SZE~a	  64.89
1(N01)	GAN2	  64.74
2(N01)	GISZ	  64.64
A	SI	  64.61
GI	NUN~a	  64.60
SI	SZU	  64.56
2(N01)	GA2~a1	  64.52
A	GAL~a	  64.52
3(N14)	GAL~a	  64.52
ME~a	SAL	  64.39
4(N01)	KI	  64.28
4(N01)	NAM2	  64.13
A	SANGA~a	  64.10
SZE~a	UDU~a	  64.06
KU6~a	PAP~a	  64.03
3(N14)	SAL	  64.00
4(N01)	SZU2	  63.97
BU~a	PA~a	  63.93
E2~a	HI	  63.85
3(N57)	BA	  63.81
GAL~a	GI	  63.79
AN	RU	  63.78
1(N14)	RAD~a	  63.72
1(N01)	KASZ~b	  63.60
SZU	UDU~a	  63.59
2(N01)	2(N57)	  63.53
2(N01)	MA	  63.42
1(N01)	NAMESZDA	  63.37
BAR	UDU~a	  63.32
5(N01)	SI	  63.32
3(N14)	E2~a	  63.23
5(N01)	NAM2	  63.18
AB~a	SANGA~a	  63.17
5(N01)	AB~a	  63.15
ME~a	PAP~a	  63.09
4(N14)	5(N14)	  63.06
2(N01)	E2~b	  62.86
GI	UDU~a	  62.86
1(N57)	SZUBUR	  62.77
8(N01)	EN~a	  62.73
1(N14)	GA~a	  62.67
1(N08)	2(N01)	  62.65
2(N45)	SZE~a	  62.56
SAL	TUR	  62.43
SZE~a	TE	  62.30
1(N01)	NIM~a	  62.29
2(N01)	DUG~c	  62.23
1(N14)	IB~a	  62.21
3(N57)	SI	  62.19
ME~a	U4	  62.15
BA	NUN~a	  61.99
BA	KI	  61.91
AN	MUSZEN	  61.90
GI	SI	  61.90
SI	U4	  61.86
EN~a	GAN2	  61.84
MUSZEN	PAP~a	  61.79
3(N01)	SZITA~a1	  61.70
NUN~a	SZU	  61.62
A	KI	  61.61
5(N01)	9(N01)	  61.41
1(N14)	MUSZ3~a	  61.19
5(N01)	SAG	  61.16
2(N14)	9(N01)	  61.11
2(N01)	APIN~a	  61.11
NAM2	U4	  61.08
DU	NUN~a	  61.07
2(N01)	MASZ2	  61.00
SAG	SAL	  60.95
4(N01)	AB~a	  60.93
1(N01)	GUG2	  60.90
3(N01)	MUSZEN	  60.76
HI	SZE~a	  60.75
1(N14)	SZUBUR	  60.71
AB~a	U4	  60.69
E2~a	KI	  60.48
NUN~a	SAL	  60.31
3(N01)	GA~a	  60.25
2(N57)	U4	  60.21
3(N57)	PIRIG~b1	  60.16
AN	DA~a	  60.13
3(N14)	SZU	  60.10
2(N34)	3(N01)	  60.08
HI	SZU	  60.05
PA~a	U4	  60.05
AN	TAK4~a	  59.90
2(N14)	SAG	  59.88
1(N01)	KISZ	  59.87
4(N01)	9(N01)	  59.85
4(N01)	BAR	  59.76
3(N01)	IB~a	  59.57
3(N14)	BU~a	  59.53
6(N01)	SAL	  59.52
2(N14)	HI	  59.51
3(N14)	PA~a	  59.48
1(N14)	MASZ2	  59.41
SANGA~a	TE	  59.35
GI	SANGA~a	  59.26
1(N14)	SU~a	  59.15
GI	PA~a	  59.12
NE~a	U4	  59.03
3(N14)	A	  58.99
2(N34)	5(N01)	  58.98
BU~a	KU6~a	  58.97
A	PA~a	  58.94
A	ME~a	  58.86
EN~a	SU~a	  58.85
4(N14)	8(N01)	  58.83
E2~a	SI	  58.78
8(N01)	BA	  58.65
6(N01)	GI	  58.63
AB~a	E2~a	  58.61
EN~a	URU~a1	  58.55
GA~a	SANGA~a	  58.55
3(N57)	HI	  58.52
AB~a	ME~a	  58.40
1(N01)	ZI~a	  58.37
4(N14)	U4	  58.27
3(N57)	NAM2	  58.24
4(N01)	KU6~a	  58.24
1(N14)	APIN~a	  58.22
KI	SZU	  58.20
DA~a	EN~a	  58.09
3(N01)	KUR~a	  58.05
BA	BU~a	  58.05
GU7	SZE~a	  58.03
2(N57)	EN~a	  58.00
2(N01)	TAK4~a	  57.99
1(N14)	KISAL~b1	  57.85
1(N57)	HI	  57.82
EN~a	KUR~a	  57.82
BA	DU	  57.79
SZU	TUR	  57.74
1(N24)	3(N01)	  57.73
1(N01)	SZA3~a1	  57.62
SAL	UDU~a	  57.59
AB~a	SAL	  57.52
NAM2	NUN~a	  57.48
GAL~a	TUR	  57.47
AN	NI~a	  57.35
5(N01)	GAR	  57.34
SAG	SZU	  57.34
3(N01)	UD5~a	  57.33
1(N14)	3(N34)	  57.07
2(N14)	ME~a	  57.06
NAM2	SANGA~a	  57.01
AN	TE	  57.01
EN~a	UNUG~a	  56.96
1(N39~a)	SZE~a	  56.95
1(N01)	2(N39~a)	  56.87
EN~a	GA2~a1	  56.87
2(N14)	SZU2	  56.87
E2~a	ME~a	  56.83
BU~a	TE	  56.81
2(N14)	KI	  56.80
3(N57)	TUR	  56.51
3(N57)	NUN~a	  56.51
1(N58)	EN~a	  56.50
AB~a	BU~a	  56.36
AN	TUR	  56.32
1(N34)	SZU	  56.30
2(N01)	NUNUZ~a1	  56.26
6(N01)	GAL~a	  56.25
8(N01)	UDU~a	  56.24
BA	PA~a	  56.12
3(N57)	GAL~a	  56.08
1(N01)	UR2	  56.02
GI	SAG	  55.98
EN~a	TUG2~a	  55.97
1(N01)	URI3~a	  55.96
1(N24)	2(N39~a)	  55.92
1(N45)	3(N01)	  55.87
1(N01)	ZATU752	  55.87
2(N14)	SI	  55.80
BA	GAL~a	  55.78
BA	NAM2	  55.73
1(N39~a)	2(N01)	  55.70
DI	NAM2	  55.67
2(N01)	HI@g~a	  55.60
1(N34)	9(N01)	  55.60
1(N01)	ZATU737	  55.59
KU6~a	SZU	  55.58
1(N45)	5(N14)	  55.55
MUSZ3~a	NUN~a	  55.54
1(N14)	KUR~a	  55.51
3(N01)	DA~a	  55.49
1(N01)	LAGAB~a	  55.47
GAL~a	IB~a	  55.40
5(N01)	SZITA~a1	  55.38
1(N34)	PAP~a	  55.33
BA	SANGA~a	  55.20
KU6~a	SAL	  55.19
4(N01)	NI~a	  54.96
U8	UDUNITA~a	  54.93
KI	SANGA~a	  54.91
PA~a	UDU~a	  54.90
BA	BAR	  54.89
GAL~a	SAG	  54.81
BU~a	SZUBUR	  54.81
A	UDU~a	  54.79
DI	GAL~a	  54.79
ME~a	NUN~a	  54.77
3(N57)	AB~a	  54.76
5(N01)	HI	  54.76
3(N14)	DU	  54.75
GI	HI	  54.71
2(N01)	MU	  54.70
DUG~a	EN~a	  54.67
3(N14)	ME~a	  54.58
SZE~a	SZUBUR	  54.50
3(N57)	KI	  54.50
4(N01)	SI	  54.42
PAP~a	TE	  54.41
2(N01)	NAGA~a	  54.39
4(N14)	7(N01)	  54.37
1(N34)	SANGA~a	  54.21
